Actual,Predicted
8.3,7.688235843024266
8.3,7.9587687828294005
7.8,7.983366037548479
7.4,8.091978026097793
8.0,7.695183122784532
7.9,7.812510846036162
8.2,8.20486578148594
6.9,7.830740422067636
6.4,7.620281220238758
8.4,7.961741683741102
8.2,7.801375394219564
8.2,7.82560807209186
8.1,7.7244793632369895
7.7,7.730857935809424
7.7,7.755090613681721
8.4,7.8932680757048574
5.5,7.715682219438546
8.6,7.744012203775014
7.8,8.09857171884428
7.2,7.884037373627107
8.3,7.823851608705138
7.1,7.824656119407339
7.8,8.284452004025038
5.5,7.732103047207273
7.4,7.8534554014867295
7.4,7.7211046170174775
8.0,7.746723399633269
8.0,7.783072416441714
7.8,7.83961957709438
6.4,7.69281982834333
7.8,7.7704289047484805
8.2,8.057435890625978
8.0,8.136440532040682
8.2,8.115583472863769
8.3,8.095129070837825
8.0,7.963548560656063
8.6,8.014079021641269
8.8,8.259148354066188
7.9,7.84158803891018
7.9,7.739874562051461
8.6,7.809052378911473
8.2,7.967697309412019
8.0,7.929590926532384
7.8,7.750303450163486
8.3,8.04510613994521
7.2,7.886907032848827
8.3,7.83873926326125
7.4,8.023243572105125
8.1,7.748712041109287
8.6,8.267940931822356
8.0,7.859640084381799
7.9,7.9740066429860335
8.6,7.791273624638613
8.7,8.425767238083484
8.2,7.952175433072034
7.8,8.356831186617292
8.6,7.803806101896018
8.0,7.417398748156716
7.9,8.222961996229547
7.9,8.126367466268647
7.1,7.71648687910337
8.2,8.04271948404391
8.5,8.334959809310691
8.0,7.89308796438418
7.9,7.906729076787947
7.4,7.850285900555213
7.5,8.157988718516851
7.7,7.785381461022092
7.8,8.125674055938296
8.6,7.764268574841218
6.4,7.432234831450175
8.6,8.204162337749107
7.9,8.495873747497788
5.5,7.83191520698075
8.3,7.360938622136431
8.0,7.74450126667963
7.5,7.959465798351195
8.0,7.918909417207095
8.6,8.213576832122007
8.3,8.017967122876037
6.4,7.410084509456818
8.3,7.653002804802045
7.4,8.05807390538664
7.8,8.20235772736313
8.1,7.818854899351471
8.2,8.200329486574178
7.5,7.844236024646244
8.4,7.8637743559260755
8.3,8.210836216006983
7.7,7.481877492818213
8.1,8.069600094394513
7.9,7.878655981142859
8.3,8.045135581904553
8.6,7.770326744309291
8.1,7.857914149869317
7.9,7.8734731413737284
7.7,7.9384960154284085
7.1,7.853266991403565
7.9,8.308867621549076
7.4,7.768294568663529
8.8,8.523970252967931
7.9,7.744676975858613
8.4,8.02612319779286
8.0,8.251365155421096
8.1,8.004745167111956
8.0,8.004414227184018
7.2,7.940952281524541
6.8,7.937441596396548
8.3,7.9542550853409315
7.9,7.696289647556529
6.2,7.696446749874513
8.2,8.104884516343486
8.5,8.223456263188844
8.0,8.2475844116469
8.0,7.8148100378361685
8.2,8.06536443648368
8.7,8.30521003753147
7.8,8.058941589762137
7.9,7.992363953206725
8.3,8.185487559548463
7.7,7.6097367536970415
7.7,7.937850032209725
8.0,8.252661159917352
8.3,8.112757636082488
7.1,7.487663169208786
8.0,7.920981948867226
7.1,7.80830614997958
7.7,7.878543741627525
8.5,8.215484987572957
7.1,7.83023601233846
8.5,8.346119595172933
8.3,8.226778767238757
8.5,8.266350321583017
8.3,8.02794326352945
8.5,8.449801177113443
7.9,8.441669073309756
7.9,8.15442635643657
7.4,7.834389994795892
7.0,7.627070076038058
8.0,7.984029171661958
8.2,7.920339774251531
7.9,8.130671955101226
7.8,8.12822486413538
7.9,7.881844491389213
8.5,8.366469543318559
7.9,7.773796602934327
6.4,7.433360634255209
6.4,7.759300266979828
8.2,7.940075589935999
8.0,8.18134538152412
7.7,7.665309167575232
7.1,7.662484856990419
7.8,7.747111829583181
8.3,7.977453551605968
8.5,8.317423002955739
8.8,8.469499778536838
8.7,7.878129833483844
8.6,7.816081866344484
8.3,7.8049766147567
7.9,7.821569562085175
7.4,7.942616348941096
8.8,8.220567380085296
8.5,8.29984213384387
8.0,7.94074424812396
7.1,7.740403323068023
7.0,7.679555311602674
8.5,7.643618543761117
8.0,7.767381143149518
8.0,7.8183119189346
8.5,8.222667731207956
7.1,7.777539873052637
7.8,7.745676999972321
7.5,7.9204003271654475
8.6,7.830692713700086
7.9,7.786046210991417
8.7,8.141944370967806
7.9,8.154727876957553
8.3,8.527243651643799
6.4,7.412157041116949
8.3,8.125510804331578
7.6,7.958013156140058
7.2,7.922777773120318
8.5,8.52355839241825
8.0,7.828717755660057
5.5,7.718244816698201
8.3,7.805958710799512
8.3,8.275562974007986
5.5,7.718244816698201
8.6,7.7712832973831985
8.7,8.086145441656596
6.9,7.750868240396448
7.7,7.621332608847135
8.1,7.802916715297319
7.4,7.771568302990202
8.3,7.781278404476182
7.1,7.699099674041927
6.4,7.698877997811405
7.5,7.893304210739331
8.0,7.82154360760576
7.9,7.949773965113737
7.1,7.762235023870135
7.1,7.832467969510909
8.6,8.355553443602506
8.1,8.434988288110056
7.8,7.715907823761779
8.3,8.253973274063034
8.5,8.235581197705693
8.3,7.8872961624056614
8.8,8.36635343691102
8.2,7.950082343882958
7.1,7.406037306902102
8.6,8.241542589013939
7.4,7.807353819181376
8.1,7.802274646070425
8.0,7.913323060005308
8.5,8.311467741568938
6.2,7.729447830924285
8.3,8.274898677072187
7.0,7.732644007204482
7.1,7.849969259476083
8.3,7.974376291390688
7.9,7.896206992974975
8.8,8.455153447272002
8.2,7.992506977354472
7.4,8.03910226942083
8.2,8.145548939488855
8.0,7.994710680987247
8.3,7.9870385734863945
8.3,8.28449080269778
7.1,7.705370319803891
7.7,7.796129032928666
7.1,7.849759630132574
8.6,7.876822986537543
7.5,7.745551632521562
8.3,8.185487559548463
7.9,7.786046210991417
8.2,7.868297056063956
7.9,8.125251487682423
7.8,7.86720019072535
8.2,7.951056344151859
9.0,8.155890855940383
8.2,8.28657364439116
8.1,8.0458751657156
7.7,7.646975233658691
8.4,7.876682001103077
8.0,7.985156392975553
8.2,8.070473947858394
7.1,7.424052389794007
8.0,8.188431325909118
7.9,7.700298331421899
7.9,7.741612297883763
8.2,8.071305910197623
7.8,7.8576377386685365
9.0,8.192239872748829
8.1,8.209736605400797
8.2,7.985332829300174
8.0,8.167552804463394
8.2,8.022999979965347
9.0,7.910310727126918
9.0,7.77150671695052
8.8,8.018494934022359
7.7,7.902808764082907
7.7,7.979603964767223
7.1,7.491967658041365
8.4,7.5214747860925675
8.0,7.9913633158315385
7.6,7.645276929841423
7.2,7.967414951725524
8.2,7.8389678725616765
8.7,8.047892649702188
7.1,7.756333432963996
8.5,8.331771299064336
8.2,7.771849731875907
7.7,7.9317763110719
8.0,8.23231244320693
8.0,7.851944237762978
8.0,7.949434406091972
8.7,8.077109631087271
8.2,7.990197298754134
8.0,8.17488637803001
6.9,7.771115280460801
8.2,7.9244148363998015
7.6,8.457602718476451
6.5,8.448045632858348
8.5,7.947818092795016
7.7,7.94633192894565
8.0,8.10327945487563
8.3,7.631767419872507
7.7,7.805535138155412
6.9,7.902248086202949
8.6,8.326225043867327
8.8,8.255640992795199
8.5,8.417861075715916
7.7,7.953800864610912
7.4,8.039731649464098
7.9,7.88606775684683
7.5,7.706492382003715
8.2,8.115583472863769
8.3,8.198082175021565
7.7,7.962720412131293
7.7,7.99412574337713
8.3,7.713693860479796
7.4,7.836473148507223
8.0,7.999437036490646
6.4,7.766793266058762
8.6,7.846363382683004
7.9,7.881991831253599
7.9,7.8730640025638055
8.0,7.8374861588375335
8.3,7.9734874049393865
8.0,8.13841081645178
7.8,8.103195058701495
8.7,8.113618073408034
8.6,8.314899937961481
8.2,7.842355322839595
8.2,7.997491897994507
8.1,8.10866704279768
6.8,7.764387951661384
8.2,7.726923679967178
9.0,8.188629516520677
7.7,8.03965348449133
8.3,8.256080298919807
7.6,8.498256224117476
8.6,7.8733609123729185
8.6,8.117696473755721
7.7,7.675831251388202
7.5,7.939371963131259
8.3,7.713722152657454
7.8,7.744741240826222
8.2,7.831347390535299
7.8,8.254656364265673
8.0,7.901936275545692
8.3,8.261506934037497
8.2,7.672687063214272
7.7,7.895267868751137
6.4,7.80792504823674
7.1,7.861394845581388
8.2,8.023327871026247
8.2,7.977369448664832
8.0,8.116192921373365
8.5,8.301480451723965
8.2,7.9553608329844385
7.1,7.8005067412118105
8.5,8.35245216046477
7.4,7.724991089580013
8.2,7.7943108229149125
8.7,8.124416895614704
7.0,7.680352439164262
7.7,8.0178121893038
7.8,7.757996159013663
7.7,7.6570439236063095
8.0,8.224255952235644
8.6,7.828062453593298
8.2,7.950585962595452
8.3,7.922597082740381
8.3,8.210836216006983
8.0,7.828042355358542
7.7,7.957459370224807
7.7,7.805208005961363
7.7,7.575619694061045
7.8,8.047933370037164
6.5,8.402290510823157
7.9,8.146773931845317
8.5,7.817691570880364
7.6,8.427471296648399
8.6,7.723341505281923
7.9,8.048089539720635
7.7,7.755887741243309
7.4,7.9673155048811735
8.7,8.141944370967806
8.4,7.650268827707652
7.8,8.100392222964748
7.8,7.941336647609454
7.0,7.7658045137665725
7.7,7.877436044210714
8.2,8.124192450528927
7.9,7.774948174761365
8.2,8.004197593730662
5.5,7.82984267532062
7.0,7.732644007204482
6.9,7.853304453921402
7.9,8.404044652402769
8.6,8.048084761190038
7.1,7.877340243763544
8.4,7.719488445957784
9.0,7.96164574209323
8.4,7.8633687097545915
8.7,8.274759764678782
8.2,7.634584365770332
8.0,7.907749631344854
8.0,7.7438537404115495
7.8,7.828259415352912
7.8,7.979866535652537
8.3,8.024662994393381
7.5,7.95276992683385
7.8,8.104377860772694
9.3,9.24761525306643
7.7,7.911863673701933
7.8,8.12822486413538
7.8,8.278393834556963
8.5,7.713606343668606
7.8,7.904505760607702
8.0,8.084304561426816
8.3,8.225955044790641
8.3,8.150541482501794
7.1,7.7592059391360975
8.3,7.82932119721799
6.9,7.809855679954012
8.5,7.8867424500456735
5.5,7.827451292635854
8.4,7.980635221298742
8.2,7.9376343584885625
7.8,7.716980407755128
7.5,8.012111089116825
7.1,7.875991134373653
7.4,7.863051219825371
8.3,7.736860624281177
8.0,7.933251249045027
7.1,7.927645000364601
8.2,7.9559810878387145
7.8,7.780591187169907
7.5,7.658420541346711
7.8,8.059990744863386
8.3,8.087861619205707
8.0,8.110871539913225
8.3,8.094331943276234
8.7,8.290168964126979
7.4,7.770958108753598
8.7,8.038327118963124
8.3,8.213998131366811
8.5,7.809131714309255
8.3,7.60531280428139
8.0,8.167426259693608
7.7,7.7732651220859434
7.8,7.857953511010921
8.3,7.799024419487023
8.3,8.302197480638009
7.1,7.798511690307775
8.6,7.816696895653443
8.0,8.026117506913842
8.0,8.08647943652861
8.0,8.099438261513216
6.4,7.435582767208847
7.4,8.301999322665361
8.0,7.77447538321978
7.4,7.90931998558523
7.4,7.7446215612874205
7.8,8.264045538448368
8.3,8.198082175021565
7.3,7.91303176186962
8.6,8.103820559652792
8.4,7.903949585030146
7.4,7.819995053214842
7.5,7.843438897084655
8.2,7.674832171288394
7.1,7.810538107152029
8.3,7.996800209712934
8.4,7.799279653802859
8.0,7.822064093874504
7.7,7.959699608566668
8.3,7.768117690992014
7.0,7.689599118878692
8.7,8.016795343798378
7.0,7.747631970206111
8.1,7.941153931703457
8.6,7.726325302909595
8.8,8.2511770784503
8.2,7.766972380838201
8.4,7.817716076588393
7.2,7.877500927622079
8.2,7.9916837671219785
8.6,7.765325828163943
8.3,7.679126816484504
9.1,7.655998691502339
8.1,7.92469036764625
6.9,7.677851355754922
7.7,7.718103894824004
7.7,7.8275275776858475
7.4,7.711539086278413
7.9,8.109063428223312
7.2,7.82807901880358
8.2,8.049743846610491
7.7,7.629303884463022
8.5,7.7316529912957614
7.4,8.019801865621426
7.7,7.904378955792412
7.1,7.711853715027346
8.0,8.20961301410856
8.0,7.7254522334099525
8.2,8.018820081867446
8.6,7.812311623533258
7.7,7.870261896156415
7.4,7.730510722244224
8.7,7.764054717500354
6.2,7.717331491988137
7.0,7.762777393876297
8.0,7.654587397956838
8.3,8.109133185221223
7.8,8.088209060543628
8.2,8.068273907142238
8.7,8.321343527515364
8.5,8.240993069543796
8.6,8.251295053077989
8.6,8.546808399975665
7.1,7.8032073805357935
8.3,8.149493170538173
8.9,7.6723751988641835
7.9,7.8926042028518575
7.2,7.859109483766021
8.6,8.214206145025125
7.9,7.860719100388309
7.9,8.073757047203792
8.1,7.99703463799354
8.2,7.95215684038685
7.8,8.147422749098483
8.3,8.419730055255384
7.5,7.795735797200874
8.5,7.645195530100798
7.1,7.711866156363147
8.3,7.883707081953662
7.1,7.632265626132098
8.0,8.043554604558379
8.7,8.10789600095966
7.1,7.640077476235668
8.6,7.754433409871407
8.0,8.129716623431225
8.0,7.970956850254867
8.5,8.23940741000132
7.8,8.061425574474246
8.2,7.703775038116231
7.8,8.326540339276923
8.3,8.074134361534156
8.0,8.009218973211125
8.3,7.457895149762123
7.8,8.166386525689246
8.6,7.73508437508522
7.0,7.5081759758805
8.3,7.694294012492341
7.1,7.776421047516032
7.8,7.649723635484849
8.2,7.888581149457368
8.5,7.95151596958541
7.8,8.220965185390577
8.3,7.751527771414409
8.3,8.701857396351004
8.2,8.012906913240494
8.0,8.28213109830324
7.9,7.793919810727176
8.5,8.250558600282861
7.2,7.903487286129871
8.4,8.05589173923084
8.6,7.721064261003109
8.2,7.943287223806475
7.8,8.098479116816936
8.8,7.671987066526629
7.2,7.852630547700512
7.9,7.71526128352234
8.0,8.102614286337209
8.0,8.15761608808683
6.4,7.664920363687726
7.4,7.816165730585266
8.1,7.914178677673236
7.7,7.47487062965128
8.5,8.26162407364453
8.5,7.9958362620097425
7.8,7.883902029485753
8.7,7.951536009652068
8.6,7.80221184677284
7.9,7.898731510046962
8.3,8.269637635165703
8.0,7.820543876107049
7.1,7.897427858315579
9.3,8.221258508370582
8.7,7.990490134265951
7.1,7.8026260500166
8.2,7.726732311889986
8.1,8.473090985553995
8.7,8.139445006403507
8.3,7.697301324888727
8.6,7.729823333178735
7.9,7.83521101841747
